epoch,loss,mse
0,1.1480798721313477,1.1480798721313477
1,1.135596513748169,1.135596513748169
2,1.1232116222381592,1.1232116222381592
3,1.110693097114563,1.110693097114563
4,1.0988667011260986,1.0988667011260986
5,1.0870321989059448,1.0870321989059448
6,1.0750913619995117,1.0750913619995117
7,1.0632411241531372,1.0632411241531372
8,1.0517513751983643,1.0517513751983643
9,1.039871335029602,1.039871335029602
